               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11689,             0.30092,            0.059018,            0.018201,            0.013613,            0.010395,            0.002763,             0.10686,             0.49014,            0.049102,             0.07037,           0.0032922,           0.0032922
                   1,            0.099397,             0.29732,            0.044877,             0.15062,             0.10954,            0.074124,            0.026909,            0.095667,             0.35747,            0.040253,            0.040152,           0.0064069,           0.0064069
                   2,            0.094006,             0.31508,            0.040153,             0.40631,             0.13447,             0.11083,            0.044933,            0.088667,             0.36591,            0.036817,           0.0097131,           0.0093016,           0.0093016
                   3,            0.094737,             0.30431,            0.037424,             0.29184,             0.16653,             0.10996,            0.037731,            0.089425,             0.36196,            0.034387,             0.00901,             0.00901,             0.00901
                   4,            0.088908,             0.31981,            0.034999,             0.54029,              0.1794,             0.14709,            0.054887,            0.086177,             0.35362,            0.031421,             0.00901,             0.00901,             0.00901
                   5,            0.087169,             0.29847,            0.032625,             0.27916,             0.25865,              0.2133,            0.073367,            0.085746,             0.34977,            0.029439,             0.00868,             0.00868,             0.00868
                   6,            0.085157,             0.28617,            0.030106,             0.41454,             0.22249,             0.19075,            0.080321,            0.084669,             0.34746,               0.027,             0.00835,             0.00835,             0.00835
                   7,            0.084183,             0.29876,            0.027896,              0.4551,             0.30406,             0.28236,             0.10167,             0.08287,             0.34263,            0.025585,             0.00802,             0.00802,             0.00802
                   8,            0.082319,             0.28984,            0.027014,             0.48081,             0.29871,             0.30526,             0.13401,            0.078239,             0.33802,            0.024401,             0.00769,             0.00769,             0.00769
                   9,            0.079571,             0.28877,            0.025476,             0.53597,             0.22034,             0.27692,             0.12351,             0.07824,             0.33675,            0.022832,             0.00736,             0.00736,             0.00736
                  10,            0.079279,             0.28898,            0.024391,             0.59796,              0.3064,             0.36856,             0.18063,            0.076152,             0.33207,            0.022267,             0.00703,             0.00703,             0.00703
                  11,            0.078941,             0.27821,            0.023426,             0.53423,             0.30132,             0.34884,             0.14893,            0.079482,             0.33035,            0.021295,              0.0067,              0.0067,              0.0067
                  12,            0.078576,             0.28796,            0.022335,             0.57006,             0.28586,             0.36321,              0.1731,            0.075936,             0.32912,            0.020323,             0.00637,             0.00637,             0.00637
                  13,            0.078659,             0.27012,             0.02155,             0.53241,             0.38459,             0.42599,             0.19593,             0.07696,             0.32537,            0.019746,             0.00604,             0.00604,             0.00604
                  14,            0.077436,             0.27843,            0.020829,             0.56933,             0.37816,             0.42722,             0.20538,            0.074597,             0.32729,            0.019365,             0.00571,             0.00571,             0.00571
                  15,            0.076137,             0.27487,            0.020696,             0.55977,             0.37421,             0.42748,             0.22059,            0.073055,             0.32378,            0.018825,             0.00538,             0.00538,             0.00538
                  16,            0.074837,             0.27416,            0.019869,             0.56973,             0.44424,             0.49279,             0.25975,            0.072607,             0.32334,            0.018453,             0.00505,             0.00505,             0.00505
                  17,            0.074283,             0.27561,            0.019431,             0.65788,             0.39871,             0.50073,             0.25788,            0.073647,             0.32191,            0.018177,             0.00472,             0.00472,             0.00472
                  18,            0.073951,             0.26594,            0.019156,             0.66631,             0.37782,             0.49081,             0.25889,            0.072366,             0.32228,            0.017927,             0.00439,             0.00439,             0.00439
                  19,            0.072918,             0.26714,            0.019006,             0.62985,             0.41592,             0.51571,             0.27716,             0.07146,             0.32002,            0.017679,             0.00406,             0.00406,             0.00406
                  20,            0.072689,             0.26951,            0.018585,             0.63653,             0.40033,             0.49574,             0.26066,            0.072213,             0.31936,            0.017348,             0.00373,             0.00373,             0.00373
                  21,            0.072756,             0.27644,            0.018365,             0.64944,             0.44245,             0.54582,             0.29496,            0.071246,             0.32049,            0.017245,              0.0034,              0.0034,              0.0034
                  22,            0.072085,             0.27101,             0.01854,             0.55063,             0.49307,             0.53401,             0.29343,            0.070634,             0.31848,              0.0172,             0.00307,             0.00307,             0.00307
                  23,            0.071562,             0.26715,             0.01821,             0.64582,             0.43547,             0.54987,             0.30422,             0.07024,             0.31774,            0.016821,             0.00274,             0.00274,             0.00274
                  24,             0.07152,             0.27082,            0.018174,             0.56444,             0.52927,              0.5744,             0.32203,            0.069763,              0.3157,            0.016753,             0.00241,             0.00241,             0.00241
                  25,            0.071038,             0.26756,            0.017981,             0.59529,             0.46997,              0.5161,             0.29117,            0.069721,             0.31606,            0.016602,             0.00208,             0.00208,             0.00208
                  26,            0.070031,             0.25517,            0.017678,             0.60645,             0.48913,             0.53751,             0.30591,            0.069244,             0.31376,            0.016515,             0.00175,             0.00175,             0.00175
                  27,            0.069864,             0.25785,            0.017657,              0.5447,             0.46058,             0.50631,             0.29503,            0.069073,             0.31306,            0.016442,             0.00142,             0.00142,             0.00142
                  28,            0.069717,             0.26141,            0.017482,             0.56867,             0.52929,             0.57841,             0.33443,            0.068897,             0.31276,            0.016323,             0.00109,             0.00109,             0.00109
                  29,            0.069942,             0.26141,            0.017488,             0.57732,             0.53252,             0.57087,             0.33021,            0.068664,              0.3118,            0.016242,             0.00076,             0.00076,             0.00076
